ID,hh_id,home_lon,home_lat,home_in_region,home_bg_2010,home_bg_2020,home_county,home_state,home_puma_2010,home_puma_2020,sample_home_lon,sample_home_lat,sample_home_bg,sample_segment,participation_group,num_days_complete_weekday,num_days_complete_weekend,num_complete_mon,num_complete_tue,num_complete_wed,num_complete_thu,num_complete_fri,num_complete_sat,num_complete_sun,num_people,num_adults,num_kids,num_students,num_workers,num_vehicles,num_bicycles,income_detailed,income_followup,res_type,residence_rent_own,bicycle_type_1,bicycle_type_2,bicycle_type_997,hh_weight,MGRA
322,22014572,-117.2302,32.95928,1,60730083272,60730083272,6073,6,7311,7311,-117.230208,32.959474,60730083272,1,9,5,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,4,995,1,1,995,995,995,512.483559,8922
1011,22045305,-117.22938,32.95834,1,60730083272,60730083272,6073,6,7311,7311,-117.229443,32.957992,60730083272,1,9,1,0,0,0,0,1,0,0,0,4,2,2,0,2,2,4,999,999,1,1,1,0,0,793.661298,8922
21,22000639,-116.9751,32.651,1,60730134182,60730134182,6073,6,7320,7320,-116.9755,32.650849,60730134182,1,1,1,0,0,0,0,1,0,0,0,2,2,0,0,1,1,1,999,5,1,1,1,0,0,535.038682,8938
449,22020143,-117.18847,32.82827,1,60730085063,60730085063,6073,6,7315,7315,-117.188705,32.828322,60730085063,1,1,1,0,0,1,0,0,0,0,0,2,2,0,1,2,3,1,7,995,1,1,1,0,0,40.641055,8946
394,22017663,-117.24183,32.80133,1,60730079033,60730079121,6073,6,7310,7310,-117.238009,32.80636,60730080023,1,1,1,0,0,0,1,0,0,0,0,5,2,3,0,2,2,3,7,995,1,1,1,0,0,306.637021,8952
2465,22114529,-117.08952,32.56913,1,60730101104,60730101104,6073,6,7322,7322,-117.089584,32.568216,60730101104,4,9,4,2,0,1,1,1,1,1,1,5,5,0,0,3,1,0,3,995,4,2,995,995,995,285.601298,8953
1142,22051065,-117.21582,32.74942,1,60730068021,60730068021,6073,6,7310,7310,-117.216055,32.749208,60730068021,2,1,1,0,0,0,1,0,0,0,0,4,2,2,0,2,2,4,6,995,4,1,1,0,0,636.281216,8954
1262,22055979,-117.21756,32.74941,1,60730068021,60730068021,6073,6,7310,7310,-117.21757,32.749638,60730068021,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,3,995,4,2,995,995,995,711.61388,8954
1400,22063123,-116.94737,33.00916,1,60730208011,60730208011,6073,6,7307,7307,-116.947063,33.009127,60730208011,3,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0,2,0,6,995,1,1,995,995,995,69.759378,8966
1407,22063642,-116.9487,33.01073,1,60730208011,60730208011,6073,6,7307,7307,-116.947878,33.010651,60730208011,3,1,1,0,0,0,0,1,0,0,0,2,2,0,0,0,3,2,3,995,1,1,1,0,0,27.52408,8966
