person_id,person_num,is_participant,has_proxy,relationship,age,age_fv,phone_type,race_1,race_2,race_3,race_4,race_5,race_997,race_999,race_other,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_997,ethnicity_999,ethnicity_other,language_at_home,gender,disability,employment,participate,num_jobs,job_type,work_lon,work_lat,work_in_region,work_bg_2010,work_bg_2020,work_county,work_state,work_puma_2010,work_puma_2020,work_mode,telework_freq,commute_freq,commute_subsidy_1,commute_subsidy_2,commute_subsidy_3,commute_subsidy_4,commute_subsidy_5,commute_subsidy_6,commute_subsidy_7,commute_subsidy_8,commute_subsidy_9,commute_subsidy_10,commute_subsidy_11,commute_subsidy_996,commute_subsidy_997,commute_subsidy_998,commute_subsidy_other,commute_subsidy_use_1,commute_subsidy_use_2,commute_subsidy_use_3,commute_subsidy_use_4,commute_subsidy_use_5,commute_subsidy_use_6,commute_subsidy_use_7,commute_subsidy_use_8,commute_subsidy_use_9,commute_subsidy_use_10,commute_subsidy_use_11,commute_subsidy_use_996,industry,industry_other,education,student,school_lon,school_lat,school_in_region,school_bg_2010,school_bg_2020,school_county,school_state,school_puma_2010,school_puma_2020,school_attend,school_freq,remote_class_freq,school_mode,school_type,second_home,second_home_lon,second_home_lat,second_home_in_region,second_home_bg_2010,second_home_county,second_home_state,second_home_puma_2010,second_home_bg_2020,second_home_puma_2020,can_drive,vehicle,home_vehicle_park_1,home_vehicle_park_2,home_vehicle_park_3,home_vehicle_park_pay,transit_freq,transit_pass_cost,transit_pass_ownership,transit_cost,share_1,share_2,share_3,share_4,share_5,share_6,share_7,share_8,share_996,tnc_freq,bikeshare_freq,carshare_freq,peerrent_freq,scootshare_freq,vanpool_freq,mopedshare_freq,bike_freq,bike_store_1,bike_store_2,bike_store_3,bike_store_4,bike_store_5,bike_store_6,bike_store_7,bike_store_997,micromobility_devices_1,micromobility_devices_2,micromobility_devices_3,micromobility_devices_4,micromobility_devices_5,micromobility_devices_6,micromobility_devices_7,micromobility_devices_997,micromobility_devices_999,barriers_1,barriers_2,barriers_3,barriers_4,barriers_5,barriers_997,barriers_999,ev_purchase,ev_typical_charge_1,ev_typical_charge_2,ev_typical_charge_3,ev_typical_charge_4,ev_typical_charge_5,ev_typical_charge_6,ev_typical_charge_997,hh_id,person_weight
2200007701,1,1,0,0,5,5,995,0,0,0,0,0,1,0,mexican,0,1,0,0,0,0,,1,2,0,1,1,1,3,,,995,,,,,,,995,995,995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,19,,6,2,,,995,,,,,,,995,995,995,995,995,0,,,995,,,,,,,1,996,0,1,1,0,996,995,995,,0,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,996,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,995,995,995,995,995,995,995,22000077,233.163054182466
2200007702,2,1,0,1,5,5,2,0,0,0,0,0,1,0,Mexican ,0,1,0,0,0,0,,1,1,0,1,1,1,1,-116.96762,32.64033,1,60730133111,60730133162,6073,6,7320,7320,100,996,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,4,,7,2,,,995,,,,,,,995,995,995,995,995,0,,,995,,,,,,,1,6,0,1,0,1,996,995,995,,1,0,0,0,0,0,0,0,0,7,995,995,995,995,995,995,996,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,995,995,995,995,995,995,995,22000077,233.163054182466
2200012501,1,1,0,0,6,6,995,0,1,0,0,0,0,0,,0,0,0,0,1,0,Spanish and Pueblo Native American ,0,1,0,1,1,1,1,-117.27259,33.13196,1,60730221001,60730221012,6073,6,7304,7304,100,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,995,995,995,995,995,995,995,995,995,995,995,995,13,,7,2,,,995,,,,,,,995,995,995,995,995,0,,,995,,,,,,,1,6,1,0,0,0,996,995,995,,1,0,0,0,0,0,0,0,0,5,995,995,995,995,995,995,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,995,995,995,995,995,995,995,22000125,12.5602044528921
2200012502,2,0,0,997,2,2,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,,995,995,995,995,995,995,995,,,995,,,,,,,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,995,,,995,,,,,,,995,995,995,995,995,995,,,995,,,,,,,995,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,22000125,12.5602044528921
2200012503,3,0,0,997,2,2,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,,995,995,995,995,995,995,995,,,995,,,,,,,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,995,,,995,,,,,,,995,995,995,995,995,995,,,995,,,,,,,995,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,22000125,12.5602044528921
2200015401,1,1,0,0,8,10,1,0,0,0,0,1,0,0,,1,0,0,0,0,0,,0,2,0,6,1,995,995,,,995,,,,,,,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,4,2,,,995,,,,,,,995,995,995,995,995,0,,,995,,,,,,,1,6,1,0,0,0,6,1,1,4,0,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,996,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,995,995,995,995,995,995,995,22000154,771.420526347188
2200018201,1,1,0,0,8,10,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,,0,1,0,1,1,1,1,-117.27709,32.82686,1,60730081014,60730081014,6073,6,7310,7310,102,996,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,995,995,995,995,995,995,995,995,995,995,995,995,7,,3,2,,,995,,,,,,,995,995,995,995,995,0,,,995,,,,,,,3,995,995,995,995,995,2,1,1,72,0,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,996,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,995,995,995,995,995,995,995,995,22000182,103.798695271229
2200018301,1,1,0,0,6,6,995,0,0,0,0,1,0,0,,1,0,0,0,0,0,,0,2,0,1,1,1,5,-117.2387,32.70794,1,60730071001,60730071001,6073,6,7310,7310,100,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,11,,7,2,,,995,,,,,,,995,995,995,995,995,0,,,995,,,,,,,1,6,1,0,0,0,6,2,1,,1,0,0,0,0,0,0,0,0,7,995,995,995,995,995,995,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,995,995,995,995,995,995,995,22000183,342.651232622908
2200019901,1,1,0,0,6,6,995,0,0,0,0,1,0,0,,1,0,0,0,0,0,,0,1,0,1,1,1,2,,,995,,,,,,,100,995,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,13,,5,3,,,995,,,,,,,995,995,7,995,12,0,,,995,,,,,,,1,6,1,1,0,0,996,995,995,,0,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,995,995,995,995,995,995,995,22000199,5565.60004462454
2200019902,2,0,1,2,2,2,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,,995,1,995,995,995,995,995,,,995,,,,,,,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,,995,995,-117.0576,33.08511,1,60730207081,60730207081,6073,6,7306,7306,1,2,996,100,6,1,-117.10962,33.09964,1,60730203074,6073,6,7305,60730203122,7305,995,995,995,995,995,995,995,995,995,,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,22000199,5565.60004462454
