,veh_make_other,vehicle_model,vehicle_year,weight_class_cvm,vehicle_classification,vehicle_weight
822,Chevrolet,Tahoe,2009,DA,1,4200
823,Nissan,Pathfinder,2011,DA,1,3340
824,Ford,F450 BOX TRUCK ,2014,LHD,5,12200
825,Chevrolet,SUBURBAN,2016,DA,1,4200
826,Chevrolet,Silverado 3500HD,2019,LHD,2,9700
827,Ford,E350 VAN,2017,LHD,3,8200
828,Ford,E350,2006,LHD,3,8000
829,Ford,E350 VAN,2012,LHD,3,8600
830,Ford,E350 VAN,2016,LHD,3,8600
831,GMC,SIERRA,2015,DA,2,4600
832,Chevrolet,E3500,2005,LHD,3,9200
833,Ford,F-550,2021,LHD,2,5000
834,Ford,F-550,2021,LHD,2,5000
835,Chevrolet,2500 HD,2004,LHD,2,6000
836,Ford,F150,2015,DA,2,5000
837,Ford,Aerial Bucket Van,2010,MHD,3,26000
838,Ford,F-550,2020,LHD,2,5000
839,Freightliner,26 ft Flatbad ,2014,HHD,5,33000
840,Ford,E350 VAN,2011,LHD,3,5600
841,Ford,F-450 Bucket ,2013,LHD,5,7000
842,Freightliner,M2 DUMP TRUCK,2014,HHD,6,80000
843,Ford,TRANSIT 250,2016,LHD,3,5600
844,Ford,F550,2017,LHD,5,19500
845,Hyundai,Sante Fe Sport,2017,DA,1,3000
846,DODGE,RAM 1500,2017,DA,2,5000
847,Ford,E350 Bucket Boom Truck ,2014,LHD,5,19000
848,Ford,F-750 Dump Truck,2011,MHD,5,33000
849,Freightliner,M2 160,2018,HHD,5,66000
850,Ford,F-150,2013,DA,2,5000
851,Chevrolet,3500 CUBE VAN,2007,LHD,3,88600
852,Ford,TRANSIT,2016,LHD,3,7600
853,Ford,Cargo Van,2008,LHD,3,8900
854,DODGE,DURANGO,2012,DA,1,6800
855,Nissan,Pathfinder,2017,DA,1,6010
856,TOYOTA,4RUNNER,2015,DA,3,7100
857,TOYOTA,Corolla,2019,DA,1,2850
858,Ford,F250,2019,LHD,2,10000
859,BMW,xs wagon,2017,DA,1,4077
860,Hyundai,Sonata,2010,DA,1,5200
861,BMW,xs wagon,2016,DA,1,4700
862,DODGE,RAM,2006,LHD,2,10000
863,Ford,E350 VAN FFV,2010,LHD,3,8500
864,Ford,EXPEDITION,2014,DA,1,4010
865,Chevrolet,3500,2020,LHD,2,10750
866,Buick,LeSabre,2008,DA,1,3800
867,DODGE,Charger,2018,DA,1,3160
868,TOYOTA,RAV4,2006,DA,1,4012
869,Ford,F550 STAKE BED,2008,LHD,5,26001
870,Ford,F550 STAKE TRUCK,2021,LHD,5,12500
871,Chevrolet,2500,2016,LHD,2,8600
872,Freightliner,M2 DUMP TRUCK,2019,MHD,5,22000
873,Chevrolet,SUBURBAN,2016,DA,1,7600
874,Ford,F550 STAKE TRUCK,2019,LHD,5,12500
875,Chevrolet,SUBURBAN,2022,DA,1,8600
876,Chevrolet,TAHOE 1500 4WD,2019,DA,1,6800
877,Chevrolet,Tahoe,2020,DA,1,6800
878,Chevrolet,Tahoe,2015,DA,1,169881
879,Chevrolet,SILVERADO,2017,DA,2,7600
880,Chevrolet,1500 SILVERADO,2021,DA,2,7090
881,Chevrolet,SILVERADO 2500 HD 2WD,2016,LHD,2,8600
882,DODGE,Ram 5500 Bucket,2019,LHD,5,16000
883,DODGE,RAM 5500,2017,LHD,5,16500
884,Chevrolet,3500 STAKE TRUCK,2019,LHD,5,12500
885,Chevrolet,3500 STAKE TRUCK,2016,LHD,5,12500
886,Chevrolet,1500 SILVERADO,2019,DA,2,7900
887,Chevrolet,1500 PU,2022,DA,2,7600
888,Chevrolet,TAHOE 1500 4WD,2014,DA,1,6900
889,Peterbilt,SEMI-TRUCK,2012,HHD,8,66000
890,Peterbilt,579,2011,HHD,8,60000
891,Peterbilt,567,2001,HHD,8,72000
892,Ford,FUSION,2018,DA,1,5600
893,Ford,Bronco,2000,DA,1,6800
894,Chevrolet,CAVALIER,2015,DA,1,6000
895,TOYOTA,COROLLA,2007,DA,1,2850
896,Nissan,Versa,2012,DA,1,3461
897,TOYOTA,COROLLA,2004,DA,1,2850
898,TOYOTA,COROLLA,2006,DA,1,2860
899,TOYOTA,COROLLA,2006,DA,1,2850
900,TOYOTA,Corolla,2003,DA,1,2850
901,TOYOTA,COROLLA,2006,DA,1,2850
902,Subaru,Ascent,2008,DA,1,2800
903,Ford,EDGE,2012,DA,1,6100
904,Ford,EDGE,2016,DA,1,5800
905,Ford,EDGE,2018,DA,1,6000
906,Subaru,OUTBACK,2014,DA,1,5800
907,Subaru,outback,2018,DA,1,5800
908,Cadillac,ESCALADE,2018,DA,1,6940
909,DODGE,Sprinter,2016,LHD,3,6800
910,Cadillac,XTS,2017,DA,1,5870
911,Sprinter (Dodge or Freightliner),Sprinter,2019,LHD,3,8550
912,Lincoln,TOWNCAR STRETCH LIMO,2018,DA,1,8600
913,Cadillac,Stretch Limousine,2019,DA,1,8600
914,HONDA,RDX,2019,DA,1,3900
915,Jeep,WRANGLER JK,2010,DA,1,3840
916,Peterbilt,579,2016,HHD,8,66000
917,Kenworth,T680,2018,HHD,8,66000
918,Kenworth,T680,2017,HHD,8,80000
919,Chevrolet,2500 HD PICKUP,2016,LHD,2,6418
920,Chevrolet,SILVERADO 2500 HD 2WD,2020,LHD,2,6418
921,Ford,TRANSIT CONNECT VAN,2020,DA,3,5100
922,Ford,TRANSIT 150,2018,DA,3,5100
923,Ford,TRANSIT 150,2019,DA,3,5100
924,Ford,TRANSIT 150,2011,DA,3,5100
925,Ford,TRANSIT 150,2013,DA,3,5100
926,Ford,TRANSIT 150,2013,DA,3,5100
927,Ford,TRANSIT CONNECT,2016,DA,3,5100
928,Scion,TC,2011,DA,1,3036
929,TOYOTA,PRIUS,2017,DA,1,3010
930,TOYOTA,PRIUS,2018,DA,1,3375
931,Nissan,Xterra,2008,DA,1,5600
932,TOYOTA,CAMRY,2016,DA,1,3300
933,Buick,ENCLAVE,2015,DA,1,4189
934,Chevrolet,SUBURBAN,2016,DA,1,7600
935,Chevrolet,SUBURBAN,2018,DA,1,6800
936,Chevrolet,SUBURBAN,2017,DA,1,6800
937,Chevrolet,Suburban,2017,DA,1,6800
938,Nissan,Pathfinder,2013,DA,1,4507
939,Ford,EXPLORER,2017,DA,1,4100
940,Jeep,PATRIOT,2018,DA,1,6540
941,Chevrolet,Blazer,2018,DA,1,6001
942,Hummer,Alpha 1,2018,LHD,1,110300
943,HONDA,Element,2010,DA,1,4600
944,HONDA,Civic,2009,DA,1,3077
945,Chevrolet,Sierra,2015,DA,2,7900
946,INFINITI,Q50,2020,DA,1,4300
947,Chevrolet,2500 HD PICKUP,2009,LHD,2,8090
948,Chevrolet,HHR,2010,DA,1,4700
949,HINO,Club Box,2020,MHD,5,23000
950,Isuzu,FB Dump,1991,MHD,5,19500
951,Nissan,Leaf,2018,DA,1,4508
952,Tesla,Model Y,2020,DA,1,5302
953,HONDA,ACCORD,2016,DA,1,3600
954,Nissan,Versa,2018,DA,1,3600
955,Nissan,Versa,2018,DA,1,2600
956,Nissan,Versa,2019,DA,1,2600
957,Nissan,Versa ,2019,DA,1,2650
958,Nissan,Versa,2019,DA,1,2600
959,Nissan,Versa,2017,DA,1,3600
960,Nissan,Versa,2016,DA,1,3600
961,Kenworth,T680,2016,HHD,8,66000
962,Ford,F550,2015,LHD,5,19500
963,Chevrolet,Tahoe,2018,DA,1,6800
964,Chevrolet,Blazer,2012,DA,1,4260
965,Chevrolet,3500 EXPRESS BOX TRUCK,2015,LHD,5,10000
966,Freightliner,COLUMBIA 120 Day,2011,HHD,8,60000
967,Ford,Ranger,2010,DA,2,6600
968,Chevrolet,3500 EXPRESS BOX TRUCK,2018,LHD,5,10000
969,Ford,F550,2017,LHD,5,12200
970,Chevrolet,Colorado,2020,DA,2,7200
971,Chevrolet,EXPRESS 1500,2012,DA,3,7000
972,Chevrolet,3500 EXPRESS BOX TRUCK,2016,LHD,5,12000
973,Freightliner,Cascadia,2019,HHD,8,52000
974,Freightliner,Cascadia,2018,HHD,8,52000
975,Freightliner,Cascadia,2017,HHD,8,52000
976,Freightliner,Cascadia,2019,HHD,8,52000
977,Freightliner,CASCADIA SLEEPER,2018,HHD,8,52000
978,Freightliner,FLD120,2018,HHD,8,66000
979,Freightliner,CST120,2010,HHD,8,33000
980,Freightliner,CST120,2009,HHD,8,33000
981,TOYOTA,Prius,2004,DA,1,3795
982,Ford,E-250,2019,LHD,3,5230
983,Ford,E-250,2017,LHD,3,5130
984,Ford,E-250,2019,LHD,3,5300
985,Ford,E-250,2021,LHD,3,5300
986,Ford,E-250,2021,LHD,3,5350
987,Ford,E-250,2017,LHD,3,5300
988,Ford,E-250,2019,LHD,3,5200
989,Ford,EXPLORER,2014,DA,1,4200
990,Chevrolet,CRUZE,2016,DA,1,4200
991,TOYOTA,CAMRY,2018,DA,1,3200
992,Ford,F-150,2015,DA,2,4100
993,TOYOTA,RAV4,2018,DA,1,4170
994,Nissan,Sentra,2014,DA,1,3441
995,HONDA,Civic,2020,DA,1,2877
996,Ford,E-250,2018,LHD,3,5300
997,Ford,TRANSIT,2015,LHD,3,8600
998,Ford,E-250,2017,LHD,3,8600
999,DODGE,Hornet,2019,DA,1,8900
1000,DODGE,Durango,2015,DA,1,6800
1001,TOYOTA,RAV4,2017,DA,1,4800
1002,TOYOTA,Prius C,2017,DA,1,3010
1003,Jeep,WRANGLER,2015,DA,1,3879
1004,DODGE,RAM 4500,2016,LHD,5,28500
1005,DODGE,RAM 2500,2019,LHD,2,9800
1006,Kenworth,t370,2016,MHD,5,26001
1007,Kenworth,19,2019,MHD,5,26001
1008,Kenworth,21,2019,MHD,5,26001
1009,Lincoln,MKC,2019,DA,1,5800
1010,Cadillac,ESCALADE,2018,DA,1,7400
1011,Cadillac,DeVille,2016,DA,1,3800
1012,Lincoln,Town Car,2018,DA,1,3850
1013,Chevrolet,SUBURBAN,2002,DA,1,6700
1014,Cadillac,XTS,2013,DA,1,5346
1015,Lincoln,MKX,2017,DA,1,4210
1016,Lincoln,MKX,2020,DA,1,5346
1017,MERCEDES BENZ,E,2018,DA,1,5324
1018,MERCEDES BENZ,E,2018,DA,1,5324
1019,Cadillac,ESCALADE,2020,DA,1,7450
1020,DODGE,DURANGO,2021,DA,1,6500
1021,DODGE,Durango,2019,DA,1,7100
1022,Nissan,NV200 CARGO VAN,2021,DA,3,3282
1023,GMC,SIERRA,2022,DA,2,7080
1024,Chevrolet,SILVERADO,2012,DA,2,8200
1025,Chevrolet,SILVERADO,2013,DA,2,7090
1026,Chevrolet,SILVERADO,2009,DA,2,8200
1027,Lincoln,Navigator,2017,DA,1,5890
1028,Ford,E-150,2019,DA,3,6000
1029,Ford,TRANSIT,2008,LHD,3,6800
1030,DODGE,CARAVAN,2003,DA,3,5400
1031,Ford,TRANSIT CONNECT,2016,DA,3,6800
1032,Ford,TRANSIT,2019,LHD,3,8600
1033,Freightliner,Cascadia,2018,HHD,8,33000
1034,Freightliner,Cascadia,2019,HHD,8,33000
1035,Freightliner,Cascadia,2019,HHD,8,33000
1036,Freightliner,CST120,2010,HHD,8,58000
1037,HONDA,Civic,2019,DA,1,3010
1038,Ford,Cargo Van,2014,LHD,3,8900
1039,Nissan,Quest,2016,DA,3,4210
1040,Kenworth,T680,2018,HHD,8,52500
1041,Kenworth,T680,2018,HHD,8,52500
1042,Kenworth,T680,2020,HHD,8,52500
1043,Kenworth,T680,2018,HHD,8,52500
1044,Kenworth,T680,2017,HHD,8,52500
1045,Kenworth,T680,2020,HHD,8,52575
1046,Kenworth,T680,2019,HHD,8,9999998
1047,Kenworth,T680,2020,HHD,8,52000
1048,Kenworth,T680,2020,HHD,8,52525
1049,Kenworth,T680,2020,HHD,8,52500
1050,Kenworth,T680,2019,HHD,8,52500
1051,Kenworth,T-800,2014,HHD,8,56000
1052,Peterbilt,TRACTOR,2017,HHD,8,78000
1053,Peterbilt,579,2016,HHD,8,59000
1054,Peterbilt,579,2008,HHD,8,60000
1055,VOLVO,VNL,2008,HHD,8,68000
1056,MACK,PINNACLE,2006,HHD,8,63000
1057,DODGE,Grand Caravan,2020,DA,1,3710
1058,Hyundai,Santa Fe,2018,DA,1,3880
1059,TOYOTA,CAMRY,2019,DA,1,3200
1060,Ford,TRANSIT CONNECT,2014,DA,3,6900
1061,Nissan,Pathfinder,2021,DA,1,3400
1062,TOYOTA,PRIUS,2018,DA,1,3400
1063,TOYOTA,PRIUS,2020,DA,1,3010
1064,TOYOTA,CAMRY,2018,DA,1,3200
1065,Ford,Escort,2016,DA,1,3740
1066,Chevrolet,COBALT,2020,DA,1,2681
1067,Chevrolet,COBALT,2018,DA,1,2681
1068,Chevrolet,EQUINOX,2017,DA,1,4630
1069,Chevrolet,Traverse,2019,DA,1,6160
1070,Chevrolet,Blazer,2020,DA,1,6001
1071,HONDA,CRV,2017,DA,1,3100
1072,Hyundai,SANTA FE,2020,DA,1,4810
1073,CHRYSLER,PACIFICA,2014,DA,1,6800
1074,DODGE,DURANGO,2013,DA,1,6500
1075,Freightliner,Cascadia,2007,HHD,8,66000
1076,Ford,F150,2020,DA,2,7010
1077,Ford,TRANSIT,2018,LHD,3,6800
1078,Chevrolet,EXPRESS 1500 2WD CARGO,2018,DA,3,8600
1079,Nissan,Frontier,2017,DA,2,5890
1080,Ford,TRANSIT CONNECT,2019,DA,3,6800
1081,Chevrolet,EXPRESS 3500 2WD CARGO,2017,LHD,3,8600
1082,Ford,TRANSIT,2017,LHD,3,6700
1083,Ford,TRANSIT,2016,LHD,3,6900
1084,DODGE,Promaster Van,2019,LHD,3,8700
1085,HONDA,PILOT,2017,DA,1,5900
1086,Ford,F450 BOX TRUCK,2015,LHD,5,12500
1087,MACK,Anthem,2010,HHD,6,33000
1088,Isuzu,BOX VAN,2016,MHD,6,15800
1089,Mitsubishi,Mirage,2020,DA,1,3600
1090,TOYOTA,Camry,2018,DA,1,3400
1091,Nissan,Pathfinder,2017,DA,1,5700
1092,Chevrolet,3500,2015,LHD,3,5432
1093,Chevrolet,EXPRESS,2020,DA,3,3500
1094,Kia,SPORTAGE,2005,DA,1,3344
1095,TOYOTA,RAV4,2014,DA,1,6250
1096,Nissan,VERSA,2010,DA,1,3605
1097,Freightliner,Cascadia,2018,HHD,8,66000
1098,Freightliner,CASCADIA SLEEPER,2012,HHD,8,88000
1099,Ford,Bronco,2015,DA,1,4680
1100,Ford,Bronco,2010,DA,1,5800
1101,Ford,F150,2019,DA,2,7010
1102,Chevrolet,Blazer,2018,DA,1,8100
1103,Ford,F250,2012,LHD,2,10000
1104,Chevrolet,1500,2018,DA,2,8200
1105,Ford,TRANSIT,2017,LHD,3,6900
1106,Ford,Escape,2006,DA,1,4300
1107,Chevrolet,EXPRESS,2016,LHD,3,8600
1108,Ford,ECONOLINE 150,2022,DA,3,6900
1109,Ford,Cargo Van,2021,DA,3,6800
1110,Nissan,NV200 CARGO VAN,2017,DA,3,7500
1111,Kenworth,Cascadia,2009,HHD,8,66000
1112,International,9100,2011,HHD,8,58000
1113,Ford,F450 BOX TRUCK ,2018,LHD,5,8000
1114,Ford,E350 VAN,2019,LHD,3,8000
1115,Ford,E350 BOX TRUCK,2020,LHD,5,12500
1116,Mitsubishi,Outlander,2019,DA,1,4300
1117,Ford,ESCAPE,2014,DA,1,3300
1118,Ford,F250,2017,LHD,2,10000
1119,Ford,F250,2020,LHD,2,10000
1120,Ford,F150,2020,DA,2,7010
1121,Ford,F250,2012,LHD,2,10000
1122,Mitsubishi,Raider,2019,DA,2,7200
1123,Mitsubishi,Raider,2020,DA,2,8200
1124,Ford,F250,2019,LHD,2,10000
1125,Ford,150,2018,DA,2,7010
1126,Ford,F150,2022,DA,2,7010
1127,Ford,F250,2020,LHD,2,10000
1128,Ford,E350 VAN,2020,LHD,3,8600
1129,Ford,EXPLORER,2020,DA,1,5800
1130,Ford,EXPEDITION,2019,DA,1,6900
1131,Ford,F250,2020,LHD,2,10000
1132,HONDA,ACCORD,2014,DA,1,2900
1133,Hyundai,Sonata,2015,DA,1,3150
1134,HONDA,Civic Del Sol,2017,DA,1,4800
1135,Ford,Escape,2016,DA,1,4800
1136,CHRYSLER,Crossfire,2008,DA,1,6200
1137,Ford,EDGE,2021,DA,1,3959
1138,Ford,EDGE,2020,DA,1,3959
1139,Ford,EDGE,2016,DA,1,3800
1140,Ford,FOCUS,2018,DA,1,4600
1141,TOYOTA,Camry Hybrid,2017,DA,1,4200
1142,Freightliner,CORONADO,2009,HHD,8,52000
1143,Chevrolet,HHR,2016,DA,1,5800
1144,Ford,C-Max Energi,2015,DA,1,3607
1145,Hyundai,SONATA,2006,DA,1,4000
1146,Ford,F 650,2013,MHD,5,26000
1147,DODGE,DURANGO,2011,DA,1,4690
1148,Ford,RANGER,2017,DA,2,6000
1149,Ford,express,2018,DA,3,6800
1150,Ford,express,2018,DA,3,6800
1151,Ford,express,2018,DA,3,6800
1152,Ford,Express,2018,DA,3,6800
1153,Ford,Express,2018,DA,3,6800
1154,Ford,Express,2018,DA,3,6800
1155,Ford,F-150,2018,DA,2,7100
1156,Ford,Express,2018,DA,3,6800
1157,TOYOTA,TUNDRA,2016,DA,2,7600
1158,TOYOTA,RAV4,2014,DA,1,3800
1159,DODGE,Charger,2015,DA,1,3850
1160,Lexus,IS 350,2007,DA,1,3650
1161,TOYOTA,4RUNNER,2017,DA,1,4788
1162,Chevrolet,SILVERADO,2016,DA,2,5420
1163,Chevrolet,SILVERADO,2017,DA,2,5400
1164,Chevrolet,SILVERADO,2015,DA,2,5400
1165,Chevrolet,SILVERADO,2018,DA,2,5400
1166,Chevrolet,SILVERADO,2018,DA,2,5400
1167,GMC,SAVANA 1500 2WD (CARGO),2015,DA,6,10000
1168,CHRYSLER,300,2014,DA,1,5100
1169,HONDA,ACCORD,2017,DA,1,3820
1170,Subaru,Tribeca,2010,DA,1,4520
1171,Ford,Bronco,2018,DA,1,4200
1172,Ford,TRANSIT,2020,LHD,3,4200
1173,Ford,TRANSIT CONNECT,2018,DA,3,4250
1174,Ford,F-150,2020,DA,2,3700
1175,Ford,F-150,2018,DA,2,3500
1176,Ford,TRANSIT CONNECT,2021,DA,3,4500
1177,Tesla,Model Y,2022,DA,1,4416
1178,Ford,Bronco,2016,DA,1,6200
1179,TOYOTA,SIENNA,2020,DA,1,4600
1180,Chevrolet,Blazer,2020,DA,1,4078
1181,DODGE,CARAVAN,2019,DA,3,4510
1182,Ford,TRANSIT,2022,LHD,3,5200
1183,Ford,F-150,2019,DA,2,5470
1184,TOYOTA,SIENNA,2022,DA,1,4625
1185,TOYOTA,SIENNA,2022,DA,1,4625
1186,Ford,TRANSIT,2022,LHD,3,5200
1187,DODGE,CARAVAN,2019,DA,3,4510
1188,TOYOTA,SIENNA,2022,DA,1,4625
1189,TOYOTA,SIENNA,2022,DA,1,4625
1190,TOYOTA,SIENNA,2020,DA,1,4605
1191,TOYOTA,SIENNA,2020,DA,1,4605
1192,TOYOTA,SIENNA,2022,DA,1,4625
1193,Nissan,Altima,2021,DA,1,3399
1194,TOYOTA,SIENNA 2WD,2020,DA,1,4605
1195,TOYOTA,SIENNA,2020,DA,1,4605
1196,TOYOTA,SIENNA,2016,DA,1,5900
1197,Chevrolet,Malibu,2016,DA,1,5100
1198,TOYOTA,Camry Hybrid,2016,DA,1,4900
1199,Chevrolet,Tahoe,2015,DA,1,6800
1200,Chevrolet,HHR,2016,DA,1,6800
1201,Chevrolet,HHR,2015,DA,1,6800
1202,Chevrolet,HHR,2015,DA,1,6800
1203,DODGE,Hornet,2018,DA,1,4960
1204,DODGE,Malibu,2019,DA,1,3126
1205,Ford,EXPLORER,2016,DA,1,7000
1206,CHRYSLER,Aspen,2011,DA,1,5800
1207,TOYOTA,Highlander Hybrid,2018,DA,1,5900
1208,TOYOTA,Avalon Hybrid,2017,DA,1,7000
1209,INFINITI,QX,2022,DA,1,4393
1210,HONDA,PILOT,2021,DA,1,4070
1211,Nissan,Altima,2021,DA,1,3296
1212,HONDA,CRV,2022,DA,1,3455
1213,Ford,F150 5.0L 2WD FFV GVWR>7599 LB,2008,DA,2,7010
1214,Ford,F550 SUPER DUTY,2009,LHD,5,12500
1216,Ford,EXPLORER,2015,DA,1,5820
1217,Chevrolet,SILVERADO 1500,2013,DA,2,8700
1218,Chevrolet,COLORADO,2017,DA,2,7090
1219,Ford,F250,2017,LHD,2,10000
1220,Ford,TRANSIT 250,2015,LHD,3,4866
1221,Ford,F-550,2020,LHD,2,15000
1222,Ford,F-550,2011,LHD,2,15000
1223,Ford,F-550,2016,LHD,2,7010
1224,Freightliner,Arcadia,2013,HHD,8,33000
1225,Freightliner,Arcadia,2013,HHD,8,33000
1226,DODGE,RAM 1500 PICKUP 2WD,2017,DA,2,3150
1227,Ford,TRANSIT CONNECT VAN 2WD,2016,DA,3,4800
1228,TOYOTA,COROLLA,2020,DA,1,3045
1229,International,DURASTAR,2020,HHD,8,40000
1230,International,DURASTAR,2021,HHD,8,66000
1231,International,DURASTAR,2020,HHD,8,45000
1232,International,4300,2020,HHD,8,35000
1233,International,4300,2020,HHD,8,35000
1234,International,4300,2020,HHD,8,35000
1235,International,4300,2020,HHD,8,35000
1236,International,4300,2020,HHD,8,35000
1237,International,4300,2020,HHD,8,35000
1238,International,4300,2020,HHD,8,35000
1239,International,4300,2020,HHD,8,35000
1240,International,4300,2020,HHD,8,35000
1241,Nissan,Pathfinder,2017,DA,1,3800
1242,TOYOTA,Tacoma,2010,DA,2,7010
1243,TOYOTA,Camry,2018,DA,1,3241
1244,TOYOTA,Tundra,2018,DA,2,3039
1245,Ford,Focu,2018,DA,1,9999998
1246,CHRYSLER,PACIFICA,2018,DA,3,4330
1247,TOYOTA,SCION xB,2016,DA,1,2758
1248,Volkswagen,Jetta,2018,DA,1,4387
1249,Mitsubishi,Eclipse,2018,DA,1,6500
1250,TOYOTA,Scion,2016,DA,1,2758
1251,HONDA,Accord,2018,DA,1,3428
1252,Audi,Q3,2018,DA,1,6479
1253,Subaru,Forester,2018,DA,3,4480
1254,TOYOTA,SIENNA,2015,DA,3,4540
1255,Ford,E-150,2020,DA,2,5470
1256,Hyundai,Palisade,2019,DA,1,7800
1257,Ford,F-250,2020,LHD,2,6440
1258,TOYOTA,Tacoma,2018,DA,2,3980
1259,DODGE,RAM,2018,DA,2,3150
1260,Ford,RANGER,2017,DA,2,6448
1261,Chevrolet,Malibu,2010,DA,1,3800
1262,VOLVO,S60,2019,DA,1,3976
1263,Chevrolet,COLORADO,2020,DA,2,4424
1264,Ford,Express,2018,DA,3,6800
1265,CHRYSLER,PACIFICA,2013,DA,1,4013
1266,Nissan,Leaf,2019,DA,1,4508
1267,Chevrolet,SILVERADO,2008,DA,2,7080
1268,TOYOTA,Hylander,2018,DA,1,4900
1269,TOYOTA,Camry Hybrid,2016,DA,1,4800
1270,TOYOTA,HIGHLANDER,2015,DA,1,5800
1271,Chevrolet,SUBURBAN,2012,DA,1,7800
1272,Ford,EXPLORER,2014,DA,1,6200
1273,Ford,ESCAPE,2016,DA,1,6800
1274,Nissan,Cube,2008,DA,1,5800
1275,DODGE,Impala,2015,DA,1,5390
1276,Ford,TRANSIT CONNECT WAGON FFV,2020,DA,3,4920
1277,Ford,E-450,2020,LHD,3,8260
1278,DODGE,Grand Caravan,2018,DA,3,4510
1279,Ford,TRANSIT,2020,LHD,3,4920
1282,Ford,F-350 Super Duty,2020,LHD,2,8500
1283,Ford,TRANSIT CONNECT,2020,DA,3,6500
1284,Ford,F-350 Box Truck ,2022,LHD,5,8500
1285,Ford,TRANSIT CONNECT,2020,DA,3,6500
1286,Ford,TRANSIT CONNECT,2020,DA,3,6500
1287,Ford,F-350,2020,LHD,2,8500
1288,Ford,F-350,2020,LHD,2,8500
1289,Ford,Astro Van,2014,DA,3,5900
1290,Ford,TRANSIT 150,2018,DA,3,6980
1291,Ford,TRANSIT,2017,LHD,3,6800
1292,Lincoln,MKC,2018,DA,1,3791
1293,Ford,EXPLORER,2012,DA,1,4732
1294,Kia,SORENTO,2020,DA,1,3305
1295,Subaru,Crosstrek,2020,DA,1,3113
1296,Kia,SORENTO,2017,DA,1,6500
1297,Subaru,Crosstrek,2016,DA,1,5900
1298,Jeep,CHEROKEE,2010,DA,1,4090
1299,Ford,AEROSTAR VAN,2016,DA,3,5900
1300,HONDA,CRV,2021,DA,1,7100
1301,MAZDA,RX-7,2016,DA,1,3200
1302,TOYOTA,Rav 4,2011,DA,1,3900
1303,Chevrolet,3500 CUBE VAN,2017,LHD,3,7800
1304,HINO,268,2015,MHD,5,14500
1305,Chevrolet,SILVERADO,2015,DA,2,7000
1306,Chevrolet,1500,2014,DA,2,7500
1307,Nissan,Pathfinder,2016,DA,1,4050
1308,HONDA,PILOT,2017,DA,1,4280
1309,DODGE,RAM 1500,2017,DA,2,3150
1310,Chevrolet,2500 HD PICKUP,2018,LHD,2,4400
1311,Nissan,nv2500,2012,LHD,1,4700
1312,Jeep,CHEROKEE,2020,DA,1,9999998
1313,HONDA,Civic,2012,DA,1,3200
1314,Hyundai,Sonata,2018,DA,1,3500
1315,Jeep,CHEROKEE,2009,DA,1,4200
1316,Ford,TRANSIT,2018,LHD,3,6800
1317,Chevrolet,SILVERADO,2016,DA,2,8600
1318,Ford,F250,2014,LHD,2,10000
1319,HINO,195dc,2020,MHD,8,19511
1320,HINO,195,2020,MHD,8,19511
1321,Freightliner,m2,2020,MHD,8,25500
1322,Chevrolet,3500 EXPRESS BOX TRUCK,2016,LHD,5,12000
1323,Jeep,PATRIOT,2018,DA,1,5100
1324,TOYOTA,RAV4,2015,DA,1,3980
1325,HONDA,Civic,2014,DA,1,3100
1326,Freightliner,Cascadia,2010,HHD,8,66000
1327,International,3400,2008,HHD,8,56000
1328,Freightliner,"New Cascadia 116"" Day cab",2010,HHD,8,54000
1329,Freightliner,"New Cascadia 116"" Day cab",2005,HHD,8,58000
1330,Ford,ECONOLINE,2012,HHD,3,68000
1331,Chevrolet,EXPRESS 3500,2009,LHD,3,8800
1332,Ford,TRANSIT,2012,LHD,3,6800
1333,Ford,FUSION,2013,DA,1,3900
1334,Chevrolet,Monte Carlo,2007,DA,1,3354
1335,Buick,Encore,2015,DA,1,4374
1336,TOYOTA,path,2016,DA,1,5800
1337,DODGE,CALIBER,2015,DA,1,4980
1338,HONDA,Civic,2015,DA,1,3880
1339,Ford,TAURUS,2008,DA,1,5100
1340,Nissan,Pathfinder,2014,DA,1,6000
1341,Volkswagen,Beetle Convertible,2015,DA,1,3900
1342,Ford,TRANSIT CONNECT,2018,DA,3,3979
1343,Ford,F-550,2018,LHD,2,7510
1344,Chevrolet,3500 EXPRESS BOX TRUCK,2019,LHD,5,7239
1345,Ford,F-150,2021,DA,2,4470
1346,Ford,FIESTA,2021,DA,1,2578
1347,Buick,Allure,2014,DA,1,3100
1348,MACK,Anthem,2016,HHD,8,86000
1349,Peterbilt,359,2010,HHD,8,86000
1350,MAZDA,3,2018,DA,1,3208
1351,Ford,F150,2017,DA,2,7010
1352,Ford,Bronco,2008,DA,1,4100
1353,Ford,Cargo Van,2018,LHD,3,8600
1354,DODGE,DURANGO,2016,DA,1,4600
1355,Cadillac,CT6,2021,DA,1,5070
1356,Nissan,PATHFINDER,2017,DA,1,5985
1357,TOYOTA,SCION,2012,DA,1,3027
1358,Freightliner,International,2015,HHD,8,88000
1359,Freightliner,Cascadia,2012,HHD,8,68000
1360,Freightliner,"New Cascadia 116"" Day cab",2009,HHD,8,80000
1361,Freightliner,COLUMBIA,2011,HHD,8,66000
1362,VOLVO,VNL TRACTOR,2004,HHD,8,87000
1363,MACK,R,2012,HHD,8,56000
1364,GMC,TERRAIN,2017,DA,1,3280
1365,Freightliner,122SD,2014,HHD,8,88000
