,veh_make_other,vehicle_model,vehicle_year,weight_class_cvm,vehicle_classification,vehicle_weight
416,Ford,E-150,2009,DA,3,8600
417,Ford,TRANSIT,2015,LHD,3,7200
418,GMC,TERRAIN,2018,DA,1,3500
419,Ford,F-150,2000,DA,2,9999998
420,TOYOTA,CAMRY,2015,DA,1,4625
421,Ford,F250,2016,LHD,2,10000
422,Chevrolet,1500,2017,DA,2,7090
423,Isuzu,NRR,2019,MHD,5,19500
424,Isuzu,NRR,2020,MHD,5,19500
425,Chevrolet,3500 STAKE TRUCK,2004,LHD,5,17950
426,Chevrolet,COLORADO,2015,DA,2,4000
427,TOYOTA,RAV4,2016,DA,1,5000
428,Chevrolet,SILVERADO 2500 2WD,2018,LHD,2,6500
429,Chevrolet,SILVERADO 2500 2WD,2016,LHD,2,6000
430,Chevrolet,SILVERADO 2500 2WD,2016,LHD,2,6000
431,Chevrolet,SUBURBAN,2022,DA,2,5000
432,Hyundai,Ioniq,2018,DA,2,9999998
433,Chevrolet,SILVERADO 2500 HD 2WD,2015,LHD,2,6000
434,Ford,F250,2011,LHD,2,6000
435,Chevrolet,SILVERADO 2500 HD 2WD,2006,LHD,2,6000
436,GMC,3500,2006,LHD,2,5000
437,Chevrolet,SILVERADO 2500 2WD,2007,LHD,2,6000
438,Peterbilt,389 Dump Truck,2013,HHD,2,9999998
439,Peterbilt,388 Dump Truck,2013,HHD,2,9999998
440,Chevrolet,3500,2014,LHD,2,6000
441,Ford,F250,2018,LHD,2,5000
442,Ford,F-550,2015,LHD,2,5000
443,Peterbilt,388 Dump Truck,2013,HHD,2,9999998
444,Peterbilt,388 Dump Truck,2013,HHD,2,9999998
445,Chevrolet,3500,2014,LHD,2,5000
446,Freightliner,m2,2020,HHD,6,80000
447,Ford,TRANSIT,2020,LHD,3,8670
448,Ford,F150,2013,DA,2,7050
449,Chevrolet,COLORADO,2022,DA,2,3986
450,Chevrolet,3500 EXPRESS BOX TRUCK,2018,LHD,5,9600
451,TOYOTA,COROLLA,2006,DA,1,3000
452,Chevrolet,3500 EXPRESS BOX TRUCK,2018,LHD,5,5500
453,Chevrolet,EXPRESS G3500 BOX TRUCK,2019,LHD,5,5380
454,Nissan,2300 Box,2017,DA,5,7700
455,Chevrolet,3500 EXPRESS BOX TRUCK,2020,LHD,5,9600
456,Volkswagen,TIGUAN,2018,DA,1,9999998
457,Ford,F-350,2021,LHD,2,12000
458,Ford,F-150,2021,DA,2,7901
459,Ford,RANGER,2022,DA,2,4145
460,Subaru,Ascent,2021,DA,3,3200
461,TOYOTA,SIENNA,2009,DA,3,3140
462,RAM,ProMaster City,2020,LHD,3,9350
463,RAM,ProMaster City,2020,LHD,3,9350
464,RAM,ProMaster City,2020,LHD,3,9350
465,RAM,ProMaster City,2020,LHD,3,9350
466,RAM,ProMaster City,2020,LHD,3,9350
467,RAM,ProMaster City,2020,LHD,3,9350
468,RAM,ProMaster City,2020,LHD,3,9350
469,RAM,ProMaster City,2020,LHD,3,9350
470,RAM,ProMaster City,2020,LHD,3,9350
471,RAM,ProMaster City,2020,LHD,3,9350
472,RAM,ProMaster City,2020,LHD,3,9350
473,RAM,ProMaster City,2020,LHD,3,9350
474,RAM,ProMaster City,2020,LHD,3,9350
475,RAM,ProMaster City,2020,LHD,3,9350
476,RAM,ProMaster City,2020,LHD,3,9350
477,RAM,ProMaster City,2020,LHD,3,9350
478,RAM,ProMaster City,2020,LHD,3,9350
479,RAM,ProMaster City,2020,LHD,3,9350
480,RAM,ProMaster City,2020,LHD,3,9350
481,RAM,ProMaster City,2020,LHD,3,9350
482,TOYOTA,TUNDRA,2021,DA,2,5170
483,TOYOTA,TUNDRA,2021,DA,2,5170
484,TOYOTA,TUNDRA,2021,DA,2,5180
485,TOYOTA,TUNDRA,2021,DA,2,5200
486,TOYOTA,TUNDRA,2021,DA,2,5170
487,TOYOTA,TUNDRA,2021,DA,2,5200
488,TOYOTA,TUNDRA,2021,DA,2,6170
489,TOYOTA,TUNDRA,2021,DA,2,5170
490,TOYOTA,TUNDRA,2021,DA,2,5600
491,TOYOTA,TUNDRA,2021,DA,2,5180
492,TOYOTA,PRIUS,2012,DA,1,9999998
493,Ford,ECONOLINE 250,2002,LHD,3,5000
494,Tesla,Model 3,2019,DA,1,3000
495,Ford,F550 STAKE TRUCK,2008,LHD,5,12500
496,DODGE,RAM,2010,LHD,2,9800
497,Ford,F250,2016,LHD,2,110000
498,Chevrolet,2500,2008,LHD,2,9400
499,Ford,F150,2007,DA,2,7010
500,TOYOTA,CAMRY HYBRID,2022,DA,1,3500
501,TOYOTA,CAMRY,2020,DA,1,9999998
502,Ford,RANGER,2005,DA,2,4000
503,TOYOTA,TACOMA 2WD,2017,DA,2,4000
504,Ford,RANGER 2WD,2008,DA,2,3000
505,Nissan,NV200 CARGO VAN,2017,DA,3,4751
506,HINO,195h,2016,MHD,8,33000
507,RANGE/LAND ROVER,RANGE ROVER,2015,DA,1,7605
508,Chevrolet,Tahoe,2009,DA,1,7400
509,TOYOTA,COROLLA,2020,DA,1,9999998
510,Nissan,Rogue,2021,DA,1,9999998
511,Ford,F150,2000,DA,2,9999998
512,Chevrolet,2500,2019,LHD,2,5000
513,Ford,F700,1977,MHD,5,17000
514,Ford,F650,2019,MHD,2,26000
515,Ford,F350,2001,LHD,2,10000
516,Ford,F350,2003,LHD,2,10000
517,Ford,F350,2000,LHD,2,10000
518,TOYOTA,Prius,2015,DA,1,2530
