,Tours_Total,Trips_Total,Trip_DA,Trip_LHD,Trip_MHD,Trip_HHD,VMT_Total,VMT_DA,VMT_LHD,VMT_MHD,VMT_HHD
Industrial,67514.60555202293,284982.08660497674,63641.75187343379,66228.2951462162,75589.88611507541,79522.15347025097,3546892.8365661837,751769.324690916,644023.8832729133,1028767.7335875415,1122331.8950148132
Wholesale,13948.570087151726,69012.34369871391,25282.202895924016,18574.829056234637,3514.9196200463257,21640.392126508974,1054351.5808516534,269205.08801838575,423747.8113761619,40958.07349976895,320440.6079573367
Retail,18768.581199022497,81389.15430565848,31545.1378268712,41539.18884983865,1782.7655462084224,6522.062082740215,662266.3649884538,240083.9322026059,303800.36884118075,20325.064555623503,98056.99938904357
Service/Gov/Office/FA,197940.5803768304,1101987.2979978796,567631.4275212402,305975.2859787871,144352.45012238488,84028.13437546788,8203616.860546,4594186.155661449,2460955.3954407917,759855.6176940529,388619.6917497072
Transport,17208.114014859366,106357.56182954989,37444.28529982066,40901.47154835921,4850.964082047453,23160.84089932258,795065.971809112,340975.0140264852,111240.56056662474,46082.52598783237,296767.87122816965
