,id,company_id,veh_make_other,vehicle_model,vehicle_year,vehicle_type,vehicle_fuel_type,vehicle_miles_per_gallon,has_vehicle_transponder,vehicle_classification,vehicle_weight,odometer,ending_odometer,Industry Group,"Employee Size (1=0-9, 2=10+)",Vehicle Type,Vehicle Type_Industry_Size Category Code,Lower Estimate Weight Factor,Most Likely Estimate Weight Factor,Upper Estimate Weight Factor,id.1,weight_class_cvm
40,77,120385,Ford,F650 FLATBED,2021,1,2,17.0,2.0,6,20500,24011,24158.3,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,77,
85,149,104108,International,4400,2009,3,2,8.0,2.0,8,23500,234441,234468.3,3,2,MUT,MUT_3_2,81.3816820418108,356.54616470586643,384.32064961155567,149,
105,173,173198,Freightliner,M2 DUMP TRUCK,2018,3,1,10.0,2.0,6,19800,49872,49931.1,9,2,SUT,SUT_9_2,174.5309847480106,688.0189136904761,738.3844642857142,173,
174,260,127629,Ford,F650 ROLLBACK,2018,3,1,25.0,2.0,8,7000,32209,32350.2,6,1,MUT,MUT_6_1,178.8475,247.69636732623033,254.33508878741756,260,
305,393,126493,HINO,Stake Bed 16FT,2016,1,2,18.0,2.0,6,33000,166201,166287.0,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,393,
309,397,126493,Ford,F650 ROLLBACK,2020,1,2,15.0,1.0,7,33000,307661,307796.4,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,397,
320,414,111630,Peterbilt,337,2008,3,2,6.0,2.0,7,33000,227105,227181.3,2,1,SUT,SUT_2_1,65.1358829676071,144.07750455373406,174.23126897389193,414,
506,697,100307,HINO,195h,2016,1,2,16.0,2.0,8,33000,84933,84966.7,1,2,MUT,MUT_1_2,81.3816820418108,356.54616470586643,384.32064961155567,697,
552,745,126985,SANYOU,28M Mounted Concrete Pumps,2018,1,2,10.0,2.0,6,17380,73877,73960.3,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,745,
553,746,126985,SANYOU,29M Mounted concrete pump,2000,1,2,18.0,2.0,6,17380,279183,279283.2,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,746,
554,747,126985,SANYOU,32M Mounted Concrete Pump,2002,1,2,12.0,2.0,6,17380,212208,212290.5,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,747,
555,748,126985,SANYOU,28M Mounted Concrete Pump,2020,1,2,10.0,2.0,6,17380,44960,45013.0,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,748,
556,749,126985,SANYOU,51M Mounted concrete pump,2018,1,2,11.0,2.0,7,17380,79592,79645.2,6,2,SUT,SUT_6_2,87.67566464552239,165.4685518138001,169.85753583206494,749,
616,819,103903,Peterbilt,200,2021,3,2,11.0,2.0,8,33000,31560,31614.0,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,819,
617,820,103903,Peterbilt,200,2020,3,2,11.0,2.0,8,30000,52300,52385.9,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,820,
621,824,103903,Peterbilt,320,2020,3,2,10.0,2.0,8,30000,54400,54596.2,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,824,
623,826,103903,Peterbilt,330,2021,3,2,11.0,2.0,8,30000,35680,35867.0,2,2,MUT,MUT_2_2,81.3816820418108,356.54616470586643,384.32064961155567,826,
