,company_id,driver_id,vehicle_id,TOUR_NUM,trip_number,STOP_SEQ,TOUR_START,TOUR_END,tour_id2,tour_id3,tour_id3_
4777,120941,58,20,1,0,1,True,False,1,20_1,1
4778,120941,58,20,1,1,2,False,False,1,20_1,1
4779,120941,58,20,1,2,3,False,True,1,20_1,1
4780,120941,59,21,1,0,1,True,False,2,21_1,2
4781,120941,59,21,1,1,2,False,False,2,21_1,2
4782,120941,59,21,1,2,3,False,False,2,21_1,2
4783,120941,59,21,1,3,4,False,False,2,21_1,2
4784,120941,59,21,1,4,5,False,False,2,21_1,2
4785,120941,59,21,1,5,6,False,False,2,21_1,2
4786,120941,59,21,1,6,7,False,False,2,21_1,2
4787,120941,59,21,1,7,8,False,False,2,21_1,2
4788,120941,59,21,1,8,9,False,False,2,21_1,2
4789,120941,59,21,1,9,10,False,False,2,21_1,2
4790,120941,59,21,1,10,11,False,True,2,21_1,2
4791,120941,60,22,1,0,1,True,False,3,22_1,3
4792,120941,60,22,1,1,2,False,False,3,22_1,3
4793,120941,60,22,1,2,3,False,False,3,22_1,3
4794,120941,60,22,1,3,4,False,False,3,22_1,3
4795,120941,60,22,1,4,5,False,False,3,22_1,3
4796,120941,60,22,1,5,6,False,False,3,22_1,3
4797,120941,60,22,1,6,7,False,False,3,22_1,3
4798,120941,60,22,1,7,8,False,False,3,22_1,3
4799,120941,60,22,1,8,9,False,False,3,22_1,3
4800,120941,60,22,1,9,10,False,False,3,22_1,3
4801,120941,60,22,1,10,11,False,False,3,22_1,3
4802,120941,60,22,1,11,12,False,False,3,22_1,3
4803,120941,60,22,1,12,13,False,False,3,22_1,3
4804,120941,60,22,1,13,14,False,False,3,22_1,3
4805,120941,60,22,1,14,15,False,True,3,22_1,3
4806,120941,61,23,1,0,1,True,False,4,23_1,4
4807,120941,61,23,1,1,2,False,False,4,23_1,4
4808,120941,61,23,1,2,3,False,False,4,23_1,4
4809,120941,61,23,1,3,4,False,False,4,23_1,4
4810,120941,61,23,1,4,5,False,True,4,23_1,4
4811,120941,62,24,1,0,1,True,False,5,24_1,5
4812,120941,62,24,1,1,2,False,True,5,24_1,5
4813,120941,63,25,1,0,1,True,False,6,25_1,6
4814,120941,63,25,1,1,2,False,False,6,25_1,6
4815,120941,63,25,1,2,3,False,False,6,25_1,6
4816,120941,63,25,1,3,4,False,False,6,25_1,6
4817,120941,63,25,1,4,5,False,False,6,25_1,6
4818,120941,63,25,1,5,6,False,False,6,25_1,6
4819,120941,63,25,1,6,7,False,False,6,25_1,6
4820,120941,63,25,1,7,8,False,False,6,25_1,6
4821,120941,63,25,1,8,9,False,False,6,25_1,6
4822,120941,63,25,1,9,10,False,False,6,25_1,6
4823,120941,63,25,1,10,11,False,False,6,25_1,6
4824,120941,63,25,1,11,12,False,False,6,25_1,6
