,Source,OE (3am - 6am),AM (6am - 9am),MD (9am - 3:30pm),PM (3:30pm - 7pm),OL (7pm - 3am)
Industrial,Survey,0.12175389049094618,0.37919902999176264,0.41501193719449714,0.07464221736402218,0.009392924958771745
Wholesale,Survey,0.09375078371508026,0.34053618017686504,0.4970270420005248,0.06012929971490117,0.008556694392628758
Retail,Survey,0.012279084255905372,0.26720408145061625,0.6392832737155354,0.038805672628362035,0.04242788794958091
Service/Gov/Office/FA,Survey,0.030717710732957322,0.3536940851830841,0.5354905752947823,0.06438131641035351,0.015716312378822893
Transport,Survey,0.03766318054869306,0.31838084119357796,0.5112673630242799,0.10388548200666578,0.028803133226783382
